team_initials,team_city,year,head_coach,offensive_coordinator,defensive_coordinator
PIT,Pittsburgh,2014,Mike Tomlin,Todd Haley,Dick LeBeau
PIT,Pittsburgh,2013,Mike Tomlin,Todd Haley,Dick LeBeau
PIT,Pittsburgh,2012,Mike Tomlin,Todd Haley,Dick LeBeau
PIT,Pittsburgh,2011,Mike Tomlin,Bruce Arians,Dick LeBeau
PIT,Pittsburgh,2010,Mike Tomlin,Bruce Arians,Dick LeBeau
PIT,Pittsburgh,2009,Mike Tomlin,Bruce Arians,Dick LeBeau
PIT,Pittsburgh,2008,Mike Tomlin,Bruce Arians,Dick LeBeau
PIT,Pittsburgh,2007,Mike Tomlin,Bruce Arians,Dick LeBeau
PIT,Pittsburgh,2006,Bill Cowher,Ken Whisenhunt,Dick LeBeau
PIT,Pittsburgh,2005,Bill Cowher,Ken Whisenhunt,Dick LeBeau
PIT,Pittsburgh,2004,Bill Cowher,Ken Whisenhunt,Dick LeBeau
PIT,Pittsburgh,2003,Bill Cowher,Mike Mularkey,Tim Lewis
PIT,Pittsburgh,2002,Bill Cowher,Mike Mularkey,Tim Lewis
PIT,Pittsburgh,2001,Bill Cowher,Mike Mularkey,Tim Lewis
PIT,Pittsburgh,2000,Bill Cowher,Kevin Gilbride,Tim Lewis
SD,San Diego,2014,Mike McCoy,Frank Reich,John Pagano
SD,San Diego,2013,Mike McCoy,Ken Whisenhunt,John Pagano
SD,San Diego,2012,Norv Turner,Hal Hunter,John Pagano
SD,San Diego,2011,Norv Turner,Clarence Shelmon,Greg Manusky
SD,San Diego,2010,Norv Turner,Clarence Shelmon,Ron Rivera
SD,San Diego,2009,Norv Turner,Clarence Shelmon,Ron Rivera
SD,San Diego,2008,Norv Turner,Clarence Shelmon,Ron Rivera
SD,San Diego,2008,Norv Turner,Clarence Shelmon,Ted Cottrell
SD,San Diego,2007,Norv Turner,Clarence Shelmon,Ted Cottrell
SD,San Diego,2006,Marty Schottenheimer,Cam Cameron,Wade Phillips
SD,San Diego,2005,Marty Schottenheimer,Cam Cameron,Wade Phillips
SD,San Diego,2004,Marty Schottenheimer,Cam Cameron,Wade Phillips
SD,San Diego,2003,Marty Schottenheimer,Cam Cameron,Dale Lindsey
SD,San Diego,2002,Marty Schottenheimer,Cam Cameron,Dale Lindsey
SD,San Diego,2001,Mike Riley,Norv Turner,Mark Banker
SD,San Diego,2001,Mike Riley,Norv Turner,Joe Pascale
SD,San Diego,2001,Mike Riley,Norv Turner,Jim Vechiarella
SD,San Diego,2000,Mike Riley,Geep Chryst,Joe Pascale
SEA,Seattle,2014,Pete Carroll,Darrell Bevell,Dan Quinn
SEA,Seattle,2013,Pete Carroll,Darrell Bevell,Dan Quinn
SEA,Seattle,2012,Pete Carroll,Darrell Bevell,Gus Bradley
SEA,Seattle,2011,Pete Carroll,Darrell Bevell,Gus Bradley
SEA,Seattle,2010,Pete Carroll,Jeremy Bates,Gus Bradley
SEA,Seattle,2009,Jim Mora,Greg Knapp,Gus Bradley
SEA,Seattle,2008,Mike Holmgren,Gil Haskell,John Marshall
SEA,Seattle,2007,Mike Holmgren,Gil Haskell,John Marshall
SEA,Seattle,2006,Mike Holmgren,Gil Haskell,John Marshall
SEA,Seattle,2005,Mike Holmgren,Gil Haskell,John Marshall
SEA,Seattle,2005,Mike Holmgren,Gil Haskell,Ray Rhodes
SEA,Seattle,2004,Mike Holmgren,Gil Haskell,Ray Rhodes
SEA,Seattle,2003,Mike Holmgren,Gil Haskell,Ray Rhodes
SEA,Seattle,2002,Mike Holmgren,Gil Haskell,Steve Sidwell
SEA,Seattle,2001,Mike Holmgren,Gil Haskell,Steve Sidwell
SEA,Seattle,2000,Mike Holmgren,Gil Haskell,Steve Sidwell
SF,San Francisco,2014,Jim Harbaugh,Greg Roman,Vic Fangio
SF,San Francisco,2013,Jim Harbaugh,Greg Roman,Vic Fangio
SF,San Francisco,2012,Jim Harbaugh,Greg Roman,Vic Fangio
SF,San Francisco,2011,Jim Harbaugh,Greg Roman,Vic Fangio
SF,San Francisco,2010,Jim Tomsula,Jimmy Raye,Greg Manusky
SF,San Francisco,2010,Mike Singletary,Jimmy Raye,Greg Manusky
SF,San Francisco,2009,Mike Singletary,Jimmy Raye,Greg Manusky
SF,San Francisco,2008,Mike Singletary,Mike Martz,Greg Manusky
SF,San Francisco,2008,Mike Nolan,Mike Martz,Greg Manusky
SF,San Francisco,2007,Mike Nolan,Jim Hostler,Greg Manusky
SF,San Francisco,2006,Mike Nolan,Norv Turner,Bill Davis
SF,San Francisco,2005,Mike Nolan,Mike McCarthy,Bill Davis
SF,San Francisco,2004,Dennis Erickson,Ted Tollner,Willy Robinson
SF,San Francisco,2003,Dennis Erickson,Greg Knapp,Jim Mora
SF,San Francisco,2002,Steve Mariucci,Greg Knapp,Jim Mora
SF,San Francisco,2001,Steve Mariucci,Greg Knapp,Jim Mora
SF,San Francisco,2000,Steve Mariucci,Marty Mornhinweg,Jim Mora
STL,St. Louis,2014,Jeff Fisher,Brian Schottenheimer,Gregg Williams
STL,St. Louis,2013,Jeff Fisher,Brian Schottenheimer,Tim Walton
STL,St. Louis,2012,Jeff Fisher,Brian Schottenheimer,
STL,St. Louis,2011,Steve Spagnuolo,Josh McDaniels,Ken Flajole
STL,St. Louis,2010,Steve Spagnuolo,Pat Shurmur,Ken Flajole
STL,St. Louis,2009,Steve Spagnuolo,Pat Shurmur,Ken Flajole
STL,St. Louis,2008,Scott Linehan,Al Saunders,Jim Haslett
STL,St. Louis,2008,Jim Haslett,Al Saunders,Rick Venturi
STL,St. Louis,2007,Scott Linehan,Greg Olson,Jim Haslett
STL,St. Louis,2006,Scott Linehan,Greg Olson,Jim Haslett
STL,St. Louis,2005,Mike Martz,Steve Fairchild,Larry Marmie
STL,St. Louis,2005,Joe Vitt,Steve Fairchild,Larry Marmie
STL,St. Louis,2004,Mike Martz,Steve Fairchild,Larry Marmie
STL,St. Louis,2003,Mike Martz,Steve Fairchild,Lovie Smith
STL,St. Louis,2002,Mike Martz,Bobby Jackson,Lovie Smith
STL,St. Louis,2001,Mike Martz,Bobby Jackson,Lovie Smith
STL,St. Louis,2000,Mike Martz,Bobby Jackson,Peter Giunta
TB,Tampa Bay,2014,Lovie Smith,Jeff Tedford,Leslie Frazier
TB,Tampa Bay,2013,Greg Schiano,Mike Sullivan,Bill Sheridan
TB,Tampa Bay,2012,Greg Schiano,Mike Sullivan,Bill Sheridan
TB,Tampa Bay,2011,Raheem Morris,Greg Olson,Keith Millard
TB,Tampa Bay,2010,Raheem Morris,Greg Olson,
TB,Tampa Bay,2009,Raheem Morris,Greg Olson,
TB,Tampa Bay,2008,Jon Gruden,Bill Muir,Monte Kiffin
TB,Tampa Bay,2007,Jon Gruden,Bill Muir,Monte Kiffin
TB,Tampa Bay,2006,Jon Gruden,Bill Muir,Monte Kiffin
TB,Tampa Bay,2005,Jon Gruden,Bill Muir,Monte Kiffin
TB,Tampa Bay,2004,Jon Gruden,Bill Muir,Monte Kiffin
TB,Tampa Bay,2003,Jon Gruden,Bill Muir,Monte Kiffin
TB,Tampa Bay,2002,Jon Gruden,Bill Muir,Monte Kiffin
TB,Tampa Bay,2001,Tony Dungy,Clyde Christensen,Monte Kiffin
TB,Tampa Bay,2000,Tony Dungy,Les Steckel,Monte Kiffin
TEN,Tennessee,2014,Ken Whisenhunt,Jason Michael,Ray Horton
TEN,Tennessee,2013,Mike Munchak,Dowell Loggains,Jerry Gray
TEN,Tennessee,2012,Mike Munchak,Chris Palmer,Jerry Gray
TEN,Tennessee,2011,Mike Munchak,Chris Palmer,Jerry Gray
TEN,Tennessee,2010,Jeff Fisher,Mike Heimerdinger,Chuck Cecil
TEN,Tennessee,2009,Jeff Fisher,Mike Heimerdinger,Chuck Cecil
TEN,Tennessee,2008,Jeff Fisher,Mike Heimerdinger,Jim Schwartz
TEN,Tennessee,2007,Jeff Fisher,Norm Chow,Jim Schwartz
TEN,Tennessee,2006,Jeff Fisher,Norm Chow,Jim Schwartz
TEN,Tennessee,2005,Jeff Fisher,Norm Chow,Jim Schwartz
TEN,Tennessee,2004,Jeff Fisher,Mike Heimerdinger,Jim Schwartz
TEN,Tennessee,2003,Jeff Fisher,Mike Heimerdinger,Jim Schwartz
TEN,Tennessee,2002,Jeff Fisher,Mike Heimerdinger,Jim Schwartz
TEN,Tennessee,2001,Jeff Fisher,Mike Heimerdinger,Jim Schwartz
TEN,Tennessee,2000,Jeff Fisher,Mike Heimerdinger,Gregg Williams
WSH,Washington,2014,Jay Gruden,Sean McVay,Jim Haslett
WSH,Washington,2013,Mike Shanahan,Kyle Shanahan,Jim Haslett
WSH,Washington,2012,Mike Shanahan,Kyle Shanahan,Jim Haslett
WSH,Washington,2011,Mike Shanahan,Kyle Shanahan,Jim Haslett
WSH,Washington,2010,Mike Shanahan,Kyle Shanahan,Jim Haslett
WSH,Washington,2009,Jim Zorn,Sherman Smith,Greg Blache
WSH,Washington,2008,Jim Zorn,Sherman Smith,Greg Blache
WSH,Washington,2007,Joe Gibbs,Don Breaux,Gregg Williams
WSH,Washington,2007,Joe Gibbs,Al Saunders,Gregg Williams
WSH,Washington,2006,Joe Gibbs,Don Breaux,Gregg Williams
WSH,Washington,2006,Joe Gibbs,Al Saunders,Gregg Williams
WSH,Washington,2005,Joe Gibbs,Don Breaux,Gregg Williams
WSH,Washington,2004,Joe Gibbs,Don Breaux,Gregg Williams
WSH,Washington,2003,Steve Spurrier,Hue Jackson,George Edwards
WSH,Washington,2002,Steve Spurrier,,Marvin Lewis
WSH,Washington,2001,Marty Schottenheimer,Jimmy Raye,Kurt Schottenheimer
WSH,Washington,2000,Terry Robiskie,,Ray Rhodes
WSH,Washington,2000,Norv Turner,,Ray Rhodes
